ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7d
ABNB,1559720,2025-11-28,0,600.0,116.71,70026.0,1,0,0,Chief Technology Officer,D,0001193125-25-305445,116.75499725341797,0.04158283132323456
ABNB,1559720,2025-12-01,0,800.0,115.88,92704.0,0,1,0,,I,0001193125-25-306659,116.0,0.0814654909331223
ABNB,1559720,2025-12-01,0,4002.0,116.5,466233.0,0,1,0,,I,0001193125-25-306659,116.0,0.0814654909331223
ABNB,1559720,2025-12-01,0,25967.0,118.62,3080205.54,0,1,0,,I,0001193125-25-306659,116.0,0.0814654909331223
ABNB,1559720,2025-12-01,0,17755.0,119.26,2117461.3000000003,0,1,0,,I,0001193125-25-306659,116.0,0.0814654909331223
ABNB,1559720,2025-12-01,0,9476.0,117.63,1114661.88,0,1,0,,I,0001193125-25-306659,116.0,0.0814654909331223
ABNB,1559720,2025-12-01,0,549.0,116.04,63705.96000000001,1,0,0,Chief Technology Officer,D,0001193125-25-305445,116.0,0.0814654909331223
ABNB,1559720,2025-12-02,0,5162.0,120.03,619594.86,1,1,0,Chief Strategy Officer,D,0001193125-25-308064,118.6500015258789,0.07543191599782738
ABNB,1559720,2025-12-03,0,39806.0,120.22,4785477.32,1,1,0,Chief Strategy Officer,D,0001193125-25-309617,118.26000213623047,0.09022484649762992
ABNB,1559720,2025-12-04,0,77527.0,120.52,9343554.04,1,1,0,Chief Strategy Officer,D,0001193125-25-309617,120.1500015258789,0.07607150765025383
ABNB,1559720,2025-12-05,0,10797.0,123.28,1331054.16,1,1,0,Chief Strategy Officer,D,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,7884.0,122.66,967051.44,1,1,0,Chief Strategy Officer,D,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,4134.0,121.7,503107.8,1,1,0,Chief Strategy Officer,D,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,946.0,120.88,114352.48,1,1,0,Chief Strategy Officer,D,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,8910.0,124.43,1108671.3,1,1,0,Chief Strategy Officer,I,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,2167.0,122.53,265522.51,1,1,0,Chief Strategy Officer,I,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,825.0,121.54,100270.5,1,1,0,Chief Strategy Officer,I,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,156.0,120.7,18829.2,1,1,0,Chief Strategy Officer,I,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,18253.0,123.61,2256253.33,1,1,0,Chief Strategy Officer,I,0001193125-25-313216,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-05,0,650.0,120.92,78598.0,1,0,0,Chief Technology Officer,D,0001193125-25-313021,120.91999816894531,0.09187893465586269
ABNB,1559720,2025-12-08,0,10010.0,123.28,1234032.8,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,124.21499633789062,0.07845276869362945
ABNB,1559720,2025-12-08,0,84516.0,121.63,10279681.08,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,124.21499633789062,0.07845276869362945
ABNB,1559720,2025-12-08,0,46537.0,122.27,5690078.99,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,124.21499633789062,0.07845276869362945
ABNB,1559720,2025-12-09,0,4630.0,125.0,578750.0,1,0,0,Chief Financial Officer,D,0001193125-25-315911,121.61000061035156,0.09612698283640322
ABNB,1559720,2025-12-09,0,16875.0,125.19,2112581.25,1,0,0,Chief Technology Officer,D,0001193125-25-315909,121.61000061035156,0.09612698283640322
ABNB,1559720,2025-12-09,0,12842.0,122.3,1570576.5999999999,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,121.61000061035156,0.09612698283640322
ABNB,1559720,2025-12-09,0,10884.0,123.47,1343847.48,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,121.61000061035156,0.09612698283640322
ABNB,1559720,2025-12-09,0,10643.0,124.42,1324202.06,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,121.61000061035156,0.09612698283640322
ABNB,1559720,2025-12-09,0,2001.0,121.62,243361.62,1,1,0,Chief Strategy Officer,I,0001193125-25-314277,121.61000061035156,0.09612698283640322
ABNB,1559720,2025-12-12,0,650.0,128.93,83804.5,1,0,0,Chief Technology Officer,D,0001193125-25-321207,128.92999267578125,0.05948975307104894
ABNB,1559720,2025-12-12,0,8770.0,130.17,1141590.9,1,1,0,CEO and Chairman,I,0001193125-25-321203,128.92999267578125,0.05948975307104894
ABNB,1559720,2025-12-12,0,7500.0,130.0,975000.0,1,0,0,Chief Financial Officer,D,0001193125-25-321199,128.92999267578125,0.05948975307104894
ABNB,1559720,2025-12-15,0,10075.0,129.35,1303201.25,0,1,0,,I,0001193125-25-322689,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,20597.0,130.66,2691204.02,0,1,0,,I,0001193125-25-322689,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,19329.0,131.55,2542729.95,0,1,0,,I,0001193125-25-322689,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,1674.0,132.04,221034.96,0,1,0,,I,0001193125-25-322689,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,6325.0,128.74,814280.5,0,1,0,,I,0001193125-25-322689,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,23703.0,130.63,3096322.8899999997,1,1,0,CEO and Chairman,I,0001193125-25-321203,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,2960.0,132.04,390838.39999999997,1,1,0,CEO and Chairman,I,0001193125-25-321203,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-15,0,24567.0,131.57,3232280.19,1,1,0,CEO and Chairman,I,0001193125-25-321203,129.2899932861328,0.05197618972592126
ABNB,1559720,2025-12-17,0,15263.0,135.0,2060505.0,1,0,0,Chief Technology Officer,D,0001193125-25-326800,133.9600067138672,0.018960832777189456
ABNB,1559720,2025-12-19,0,1915.0,135.01,258544.15,1,0,0,Chief Technology Officer,D,0001193125-25-330844,134.14999389648438,0.018412235058386055
ABNB,1559720,2025-12-19,0,650.0,134.15,87197.5,1,0,0,Chief Technology Officer,D,0001193125-25-330844,134.14999389648438,0.018412235058386055
ABNB,1559720,2025-12-29,0,4071.0,137.03,557849.13,0,1,0,,I,0001193125-25-338296,136.5,-0.002893804193853022
ABNB,1559720,2025-12-29,0,53929.0,136.68,7371015.720000001,0,1,0,,I,0001193125-25-338296,136.5,-0.002893804193853022
ABR-PF,1253986,2025-11-13,1,25000.0,9.1,227500.0,1,1,0,"COB, CEO and President",I,0001104659-25-113287,21.724949361671296,0.0036182508249556454
ABR-PF,1253986,2025-11-17,1,2508.0,8.3,20816.4,1,0,0,CCO & Head of Non-Agcy Prod,D,0001104659-25-113659,21.813381067627496,0.011261318695921823
ABR-PF,1253986,2025-11-17,1,5000.0,8.28,41400.0,0,1,0,,D,0001104659-25-113654,21.813381067627496,0.011261318695921823
ABR-PF,1253986,2025-11-17,1,29000.0,8.34,241860.0,1,1,0,"COB, CEO and President",I,0001104659-25-113287,21.813381067627496,0.011261318695921823
ABR-PF,1253986,2025-11-28,1,12800.0,9.02,115456.0,0,1,0,,D,0001104659-25-117324,21.96076793350006,-0.004474284035180609
ABSI,1672688,2025-12-05,1,40000.0,3.72,148800.0,0,1,0,,D,0001672688-25-000096,3.7300000190734863,-0.09651478060952573
ABT,1800,2025-11-25,0,1586.0,128.02,203039.72000000003,1,0,0,Senior Vice President,D,0002058129-25-000009,126.6484608338029,-0.012805382506534013
ABTC,1755953,2025-12-16,1,175000.0,1.66,290500.0,0,1,0,,D,0001193125-25-323509,1.6399999856948853,0.15243902571991327
ABTC,1755953,2025-12-22,1,101000.0,1.98,199980.0,0,1,0,,D,0001193125-25-331019,1.9900000095367432,-0.12060301928974028
ACAD,1070494,2025-11-10,0,30000.0,22.37,671100.0,0,1,0,,D,0001560782-25-000006,22.799999237060547,0.03552637721032853
ACAD,1070494,2025-11-18,0,10262.0,23.69,243106.78,1,0,0,"EVP, CHIEF FINANCIAL OFFICER",D,0001899977-25-000006,23.690000534057617,0.052342749816974246
ACAD,1070494,2025-11-18,0,4084.0,23.69,96749.96,1,0,0,PRINCIPAL ACCOUNTING OFFICER,D,0001816160-25-000004,23.690000534057617,0.052342749816974246
ACEL,1698991,2025-12-01,0,45000.0,10.31,463950.0,1,1,0,CEO and President,D,0001794156-25-000009,10.220000267028809,0.03816040894897348
ACEL,1698991,2025-12-11,0,12500.0,11.01,137625.0,0,1,0,,I,0001794305-25-000009,10.8100004196167,0.031452283599969544
ACEL,1698991,2025-12-15,0,12500.0,11.19,139875.0,0,1,0,,I,0001794305-25-000011,11.109999656677246,0.03510354233794768
ACEL,1698991,2025-12-15,0,12500.0,11.2,140000.0,0,1,0,,I,0001794305-25-000011,11.109999656677246,0.03510354233794768
ACEL,1698991,2025-12-15,0,10000.0,11.11,111100.0,1,0,0,Secretary,D,0001794002-25-000007,11.109999656677246,0.03510354233794768
ACEL,1698991,2025-12-23,0,5000.0,11.5,57500.0,1,0,0,Chief Compliance Officer,D,0001794002-25-000009,11.15999984741211,0.0134409116716407
ACEL,1698991,2025-12-24,0,5000.0,11.5,57500.0,1,0,0,Chief Compliance Officer,D,0001794002-25-000009,11.5,-0.008695685345193615
ACET,1720580,2025-10-08,1,1500000.0,1.0,1500000.0,0,0,0,,I,0000947871-25-000898,13.760000228881836,0.23255805249727518
ACET,1720580,2025-10-08,1,3500000.0,1.0,3500000.0,0,0,0,,I,0000947871-25-000898,13.760000228881836,0.23255805249727518
